Mode,NLC,ASC,Station,Coverage,Source,Weekday (Mon-Thu) Entries,Friday Entries,Saturday Entries,Sunday Entries,Weekday (Mon-Thu) Exits,Friday Exits,Saturday Exits,Sunday Exits,Annualised En/Ex,year
LU,539,CLFu,Chalfont & Latimer,Station entry / exit,Scaled,"1,946","1,690","1,253",751,"1,768","1,577","1,325",848,"736,602","2,021"
LU,540,CHFu,Chalk Farm,Station entry / exit,Gateline,"5,061","5,864","6,081","3,759","4,423","4,904","4,833","3,099","2,195,398","2,021"
LU,541,CYLu,Chancery Lane,Station entry / exit,Gateline,"15,160","11,107","4,969","2,540","16,450","12,485","5,482","2,595","5,469,516","2,021"
LU,718,CHXu,Charing Cross LU,Station entry / exit,Gateline,"15,476","16,202","20,095","12,017","15,394","16,317","17,935","10,603","7,154,835","2,021"
LU,543,CHMu,Chesham,Station entry / exit,Gateline,"1,307","1,263",911,542.125,"1,236","1,165",823.4285714,493,"507,495","2,021"
LU,544,CHGu,Chigwell,Station entry / exit,Gateline,558,515,261.6,143.4444444,466,428,235.8,143.3333333,"192,328","2,021"
LU,545,CHPu,Chiswick Park,Station entry / exit,Gateline,2321.25,2178.857143,1955,1223.714286,2583.45,2369.571429,1966.857143,1361.571429,"1,013,033","2,021"
LU,546,CWDu,Chorleywood,Station entry / exit,Scaled,"2,376","1,971","1,427",1070.043848,"1,747","1,472","1,015",892.5382551,"803,805","2,021"
LU,547,CPCu,Clapham Common,Station entry / exit,Gateline,"10,183","10,772","10,638",6795.909091,"10,854","11,490",11676.90909,7162.272727,"4,712,092","2,021"
LU,548,CPNu,Clapham North,Station entry / exit,Gateline,"7,292","7,984","7,733","4,636","7,278","7,881","7,985","4,633","3,273,797","2,021"
LU,549,CPSu,Clapham South,Station entry / exit,Gateline,9042.45,8876.666667,7919.666667,5016,8842.4,8012.666667,7222.444444,5211.375,"3,758,231","2,021"
LU,550,CFSu,Cockfosters,Station entry / exit,Gateline,1727.1,1962.142857,2128.222222,1605.285714,1752.95,1927.285714,2033,1754.857143,"836,566","2,021"
LU,551,COLu,Colindale,Station entry / exit,Gateline,"8,352","8,359",6672,4784.727273,"8,043","7,807",6079.5,4642.818182,"3,432,152","2,021"
LU,552,CLWu,Colliers Wood,Station entry / exit,Gateline,7143.25,7405.125,6606.285714,4540,6877.2,6683.75,5803.857143,4446.909091,"3,024,060","2,021"
LU,553,COVu,Covent Garden,Station entry / exit,Gateline,"13,186","15,368","19,274","12,925","15,863","20,304","26,935","15,625","7,484,432","2,021"
LU,554,CRXu,Croxley,Station entry / exit,Gateline,"1,277","1,185",747,403,"1,269","1,128",695,434,"487,950","2,021"
LU,555,DGEu,Dagenham East,Station entry / exit,Gateline,"3,821","3,776","2,596","1,774","3,588","3,465","2,427","1,636","1,496,282","2,021"
LU,556,DGHu,Dagenham Heathway,Station entry / exit,Gateline,7159.8,7066.272727,4753,3164.375,7132.25,6959.818182,4630.333333,3147.625,"2,869,564","2,021"
LU,557,DEBu,Debden,Station entry / exit,Gateline,"2,851","2,740","1,876","1,055","2,766","2,596","1,732","1,047","1,106,863","2,021"
LU,558,DHLu,Dollis Hill,Station entry / exit,Gateline,"4,669","4,688","3,697","2,659","4,268","4,099","3,156","2,440","1,865,453","2,021"
LU,560,EBYu,Ealing Broadway,Station entry / exit,Gateline,"16,138","16,353","14,070","9,638","16,401","16,178","13,761","9,830","6,934,968","2,021"
LU,561,ECMu,Ealing Common,Station entry / exit,Gateline,2987.842105,3099.6,2769.444444,1888.888889,3046.526316,3085.4,2708,1920.111111,"1,308,100","2,021"
LU,562,ECTu,Earl's Court,Station entry / exit,Gateline,"18,590","19,894","18,993",13482.3,"18,779","20,573","19,230",12595.6,"8,396,552","2,021"
LU,563,EACu,East Acton,Station entry / exit,Gateline,"3,001","2,944","2,099","1,450","3,548","3,324","2,340","1,829","1,326,939","2,021"
LU,565,EFYu,East Finchley,Station entry / exit,Gateline,"6,914","6,824",5486.1,3482.363636,"6,690","6,350",4960.2,3554.272727,"2,809,498","2,021"
LU,566,EHMu,East Ham,Station entry / exit,Gateline,"14,635","14,478","10,840","7,568","14,387","13,912","10,302","7,485","5,966,757","2,021"
LU,567,EPYu,East Putney,Station entry / exit,Gateline,"7,156","6,891","6,149","4,006","7,197","6,579","5,800","4,229","3,007,533","2,021"
LU,564,ETEu,Eastcote,Station entry / exit,Gateline,"2,936","2,950",2222.666667,1254.285714,"2,889","2,890",2082.222222,1262.714286,"1,187,714","2,021"
LU,568,EDGu,Edgware,Station entry / exit,Gateline,"5,356","5,194","4,277","3,192","5,528","5,251","4,278","3,267","2,278,683","2,021"
LU,774,ERBu,Edgware Road (Bak),Station entry / exit,Gateline,"5,295","4,911","4,035","2,466","5,518","5,053","3,992","2,395","2,183,058","2,021"
