Mode,NLC,ASC,Station,Coverage,Source,Weekday (Mon-Thu) Entries,Friday Entries,Saturday Entries,Sunday Entries,Weekday (Mon-Thu) Exits,Friday Exits,Saturday Exits,Sunday Exits,Annualised En/Ex,year
LU,500,ACTu,Acton Town,Station entry / exit,Relate,"9,531",0,"6,716","4,744","9,382",0,"6,617","4,785","5,731,527","2,017"
LU,502,ALDu,Aldgate,Station entry / exit,Relate,"15,080",0,"4,397","3,261","16,023",0,"5,909","4,230","8,459,234","2,017"
LU,503,ALEu,Aldgate East,Station entry / exit,Relate,"22,327",0,"16,166","13,323","21,071",0,"13,893","11,347","13,262,408","2,017"
LU,505,ALPu,Alperton,Station entry / exit,Relate,"4,495",0,"3,279",2345,"5,081",0,"3,392",2445,"2,896,391","2,017"
LU,506,AMEu,Amersham,Station entry / exit,Relate,3848,0,1876,1232,4025,0,1797,1121,"2,215,502","2,017"
LU,507,ANGu,Angel,Station entry / exit,Relate,"30,413",0,"20,944","13,916","30,099",0,"22,368","13,832","18,236,123","2,017"
LU,508,ARCu,Archway,Station entry / exit,Relate,"15,336",0,"10,701","7,424","13,956",0,"9,023","6,816","8,806,365","2,017"
LU,509,AGRu,Arnos Grove,Station entry / exit,Relate,"7,443",0,"5,868","3,986","6,732",0,"5,100","3,745","4,372,042","2,017"
LU,510,ARLu,Arsenal,Station entry / exit,Relate,"4,622",0,3692,2626,3929,0,3071,2581,"2,671,088","2,017"
LU,511,BSTu,Baker Street,Station entry / exit,Relate,"47,116",0,"29,088","22,260","44,913",0,"27,901","20,754","27,340,420","2,017"
LU,512,BALu,Balham LU,Station entry / exit,Relate,"22,562",0,"17,441","10,809","22,199",0,"15,581","10,678","13,584,305","2,017"
LU,513,BNKu,Bank and Monument,Station entry / exit,Relate,"112,547",0,"29,906","17,414","111,709",0,"29,100","16,333","59,256,074","2,017"
LU,501,BARu,Barbican,Station entry / exit,Relate,"20,680",0,7416,5149,"20,512",0,7702,5351,"11,303,155","2,017"
LU,514,BKGu,Barking,Station entry / exit,Relate,"29,410",0,"19,930","14,113","28,165",0,"18,712","13,372","17,278,582","2,017"
LU,515,BDEu,Barkingside,Station entry / exit,Relate,2723,0,1440,931,2661,0,1403,934,"1,543,740","2,017"
LU,516,BCTu,Barons Court,Station entry / exit,Relate,"12,188",0,"7,011","5,009","10,959",0,"6,051","4,894","6,769,847","2,017"
LU,517,BAYu,Bayswater,Station entry / exit,Relate,"6,946",0,6916,6033,"6,309",0,6409,5286,"4,437,691","2,017"
LU,518,BECu,Becontree,Station entry / exit,Relate,"6,034",0,"3,935",2549,"5,638",0,"3,595",2423,"3,458,723","2,017"
LU,519,BPKu,Belsize Park,Station entry / exit,Relate,"10,868",0,"6,114","4,791","9,207",0,"5,596",4541,"5,926,276","2,017"
LU,787,BERu,Bermondsey,Station entry / exit,Relate,"16,503",0,"12,706","8,848","16,121",0,"12,536","9,373","10,083,167","2,017"
LU,520,BNGu,Bethnal Green LU,Station entry / exit,Relate,"23,869",0,"20,599","15,643","22,390",0,"19,079","14,976","14,720,488","2,017"
