,COUNTS (LU/LO/DLR/TfL Rail)--2023 // Station annualised entries and exits,,,,,,,,,,,,,,,,,
,(C) Copyright Transport for London 2024,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Counts by Station,,,,,,,,,,,,,,,,,
,version 20240403,,,,,Typical,,,,,,,,,,,,
,,,,,,Monday,Midweek (Tue-Thu),Friday,Saturday,Sunday,Monday,Midweek (Tue-Thu),Friday,Saturday,Sunday,Weekly,12-week,Annualised
Mode,NLC,ASC,Station,Coverage,Source,Entries,Entries,Entries,Entries,Entries,Exits,Exits,Exits,Exits,Exits,En/Ex,En/Ex,En/Ex
LU,528,BWRu,Bow Road,Station entry/exit,Gateline,"6,444","7,144","7,139","6,115","4,482","6,269","6,818","6,627","5,849","4,776","89,585","1,024,506","4,157,626"
LU,529,BTXu,Brent Cross,Station entry/exit,Gateline,"3,066","3,389","2,964","2,372","1,782","2,996","3,275","2,913","2,270","1,735","40,091","458,484","1,860,607"
LU,778,BRXu,Brixton LU,Station entry/exit,Gateline,"28,089","33,083","34,583","34,458","23,130","27,499","32,069","34,094","33,994","23,265","434,569","4,969,807","20,168,356"
LU,530,BBBu,Bromley-by-Bow,Station entry/exit,Gateline,"5,821","6,574","6,225","4,799","3,919","5,786","6,487","6,024","4,694","3,868","80,320","918,554","3,727,656"
LU,531,BHLu,Buckhurst Hill,Station entry/exit,Gateline,"2,819","3,316","2,949","2,280","1,441","2,770","3,267","2,901","2,131","1,444","38,483","440,099","1,786,001"
LU,532,BURu,Burnt Oak,Station entry/exit,Gateline,"5,189","5,532","5,259","3,737","2,905","5,012","5,280","5,091","3,526","2,863","66,016","754,969","3,063,800"
LU,534,CRDu,Caledonian Road,Station entry/exit,Gateline,"6,906","7,686","7,687","6,178","4,603","6,500","7,241","6,993","5,692","4,477","93,818","1,072,914","4,354,076"
LU,535,CTNu,Camden Town,Station entry/exit,Gateline,"23,798","26,322","31,478","33,131","27,507","24,387","27,256","32,894","42,368","28,916","405,212","4,634,069","18,805,872"
LU,788,CWRu,Canada Water,Station entry/exit,Gateline,"13,515","15,121","15,890","16,413","11,517","13,715","15,393","16,097","15,855","11,808","206,351","2,359,861","9,576,731"
LU,852,CWFu,Canary Wharf LU,Station entry/exit,Gateline,"47,422","56,704","44,915","38,264","26,666","49,077","58,810","46,206","39,309","26,664","665,067","7,605,824","30,865,778"
LU,884,CNTu,Canning Town,Station entry/exit,Gateline,"18,147","19,345","20,528","19,610","15,445","18,207","19,624","21,303","20,735","14,769","265,650","3,038,019","12,328,817"
LU,536,CSTu,Cannon Street LU,Station entry/exit,Gateline,"6,573","8,611","5,568","3,287","1,999","6,067","7,971","5,072","2,805","1,672","82,787","946,769","3,842,155"
LU,537,CPKu,Canons Park,Station entry/exit,Gateline,"3,397","3,698","3,416","2,812","1,789","3,353","3,673","3,346","2,636","1,814","44,675","510,909","2,073,359"
LU,539,CLFu,Chalfont & Latimer,Station entry/exit,Gateline,"2,888","3,061","2,392","2,111",992,"2,731","2,716","2,316","2,542","1,278","34,582","395,482","1,604,937"
LU,540,CHFu,Chalk Farm,Station entry/exit,Gateline,"6,254","7,453","8,378","10,233","5,628","5,420","6,592","7,324","7,582","4,714","97,665","1,116,915","4,532,637"
LU,541,CYLu,Chancery Lane,Station entry/exit,Gateline,"12,649","16,649","11,084","5,046","2,511","13,410","17,917","11,915","5,349","2,477","168,141","1,922,894","7,803,444"
LU,718,CHXu,Charing Cross LU,Station entry/exit,Gateline,"20,406","24,918","22,836","25,975","16,870","19,519","23,622","22,049","25,557","13,263","312,094","3,569,161","14,484,286"
LU,543,CHMu,Chesham,Station entry/exit,Gateline,"1,575","1,877","1,602","1,242",725,"1,496","1,737","1,562","1,113",679,"20,834","238,257","966,889"
LU,544,CHGu,Chigwell,Station entry/exit,Gateline,620,714,581,318,212,507,595,513,273,209,"7,160","81,880","332,284"
LU,545,CHPu,Chiswick Park,Station entry/exit,Gateline,"3,058","3,688","3,125","2,516","1,643","3,430","4,094","3,363","2,454","1,762","44,698","511,176","2,074,444"
LU,546,CWDu,Chorleywood,Station entry/exit,Gateline,"3,003","3,122","2,510","1,763","1,282","2,272","2,317","1,833","1,266","1,110","31,357","358,609","1,455,300"
LU,547,CPCu,Clapham Common,Station entry/exit,Gateline,"10,050","12,472","12,842","14,141","8,197","11,032","13,935","13,667","15,100","8,989","173,240","1,981,200","8,040,059"
LU,548,CPNu,Clapham North,Station entry/exit,Gateline,"6,805","8,061","9,087","9,313","5,239","7,222","8,804","8,932","9,681","5,404","112,280","1,284,056","5,210,928"
LU,549,CPSu,Clapham South,Station entry/exit,Gateline,"9,081","11,319","10,374","9,364","5,678","9,220","11,231","9,875","9,005","6,006","136,253","1,558,214","6,323,510"
LU,550,CFSu,Cockfosters,Station entry/exit,Gateline,"2,057","2,346","2,369","2,496","1,510","2,051","2,409","2,392","2,460","1,649","31,249","357,364","1,450,247"
LU,551,COLu,Colindale,Station entry/exit,Gateline,"10,120","11,203","10,696","8,454","6,269","9,857","10,897","10,220","7,994","6,147","136,058","1,555,978","6,314,434"
LU,552,CLWu,Colliers Wood,Station entry/exit,Gateline,"8,039","9,190","9,136","8,342","5,693","7,800","8,798","8,653","7,798","5,625","115,049","1,315,718","5,339,416"
LU,553,COVu,Covent Garden,Station entry/exit,Gateline,"14,145","17,681","18,221","22,652","14,622","16,696","20,531","22,051","30,628","17,279","270,929","3,098,390","12,573,815"
LU,554,CRXu,Croxley,Station entry/exit,Gateline,"1,449","1,684","1,379",751,436,"1,422","1,669","1,362",716,471,"18,046","206,372","837,496"
LU,555,DGEu,Dagenham East,Station entry/exit,Gateline,"4,590","4,892","4,622","3,218","2,400","4,261","4,577","4,348","2,888","2,270","57,004","651,907","2,645,552"
LU,556,DGHu,Dagenham Heathway,Station entry/exit,Gateline,"8,095","8,694","8,515","5,702","4,040","7,944","8,564","8,360","5,554","4,040","104,024","1,189,639","4,827,763"
LU,557,DEBu,Debden,Station entry/exit,Gateline,"3,176","3,532","3,132","1,970","1,227","3,107","3,439","2,982","1,897","1,264","39,669","453,661","1,841,035"
LU,558,DHLu,Dollis Hill,Station entry/exit,Gateline,"5,097","5,503","5,408","4,232","3,113","4,687","4,961","4,870","3,846","2,942","65,587","750,064","3,043,893"
LU,560,EBYu,Ealing Broadway,Station entry/exit,Gateline,"22,063","25,758","24,877","21,081","14,778","24,870","27,290","25,426","22,951","17,265","332,452","3,801,975","15,429,088"
LU,561,ECMu,Ealing Common,Station entry/exit,Gateline,"2,935","3,338","3,294","2,762","1,962","3,001","3,411","3,290","2,614","2,015","42,123","481,721","1,954,910"
